lifetime_weeks,ltv_pred_mean
0,0.0
1,1.0382112431489599
2,1.9724749698225077
3,2.8257684773739595
4,3.6135218726023033
5,4.346823885326556
6,5.0339924934506906
7,5.681464761770254
8,6.294344360350628
9,6.876757936497913
10,7.43209704150785
11,7.963187925385286
12,8.472414005361893
13,8.961806251507163
14,9.433111219763944
15,9.887843143539282
16,10.327324423443898
17,10.752717521901936
18,11.165050388893597
19,11.565236949938544
20,11.954093776855089
21,12.332353773383476
22,12.700677501784279
23,13.059662627225537
24,13.409851847096508
25,13.75173959081371
26,14.085777714316182
27,14.412380366796048
28,14.731928171403386
29,15.044771833924464
30,15.351235271765646
31,15.651618338517904
32,15.94619920585083
33,16.235236453677096
34,16.518970910846576
35,16.79762728160733
36,17.07141558735457
37,17.34053244851832
38,17.60516222759783
39,17.865478051178712
40,18.121642726129952
41,18.373809562986924
42,18.62212311768256
43,18.866719861243716
44,19.107728785767677
45,19.345271953883202
46,19.579464997963658
47,19.81041757456038
48,20.038233778833867
49,20.263012523174257
50,20.484847883695043
51,20.70382941784816
52,20.920042456027257
