frequency,recency,T,monetary_value
19.0,19.0,19.0,2.49
0.0,0.0,30.0,0.0
0.0,0.0,26.0,0.0
2.0,5.0,27.0,2.49
0.0,0.0,32.0,0.0
0.0,0.0,3.0,0.0
1.0,1.0,20.0,2.49
3.0,5.0,30.0,2.49
9.0,9.0,16.0,2.49
15.0,15.0,31.0,2.49
1.0,1.0,18.0,2.49
1.0,17.0,22.0,2.49
0.0,0.0,25.0,0.0
14.0,14.0,30.0,2.4899999999999998
19.0,19.0,19.0,2.49
6.0,6.0,19.0,2.49
17.0,18.0,27.0,2.49
0.0,0.0,29.0,0.0
3.0,3.0,28.0,2.49
4.0,6.0,24.0,2.49
0.0,0.0,28.0,0.0
1.0,1.0,18.0,2.49
1.0,3.0,19.0,2.49
4.0,4.0,31.0,2.49
27.0,27.0,33.0,2.49
1.0,2.0,25.0,7.470000000000001
15.0,18.0,19.0,2.49
16.0,18.0,32.0,2.49
17.0,17.0,23.0,2.49
0.0,0.0,28.0,0.0
8.0,9.0,31.0,2.49
0.0,0.0,22.0,0.0
2.0,11.0,23.0,3.7350000000000003
6.0,6.0,9.0,2.49
4.0,5.0,33.0,2.49
3.0,3.0,31.0,2.49
13.0,13.0,29.0,2.49
1.0,1.0,26.0,2.49
0.0,0.0,18.0,0.0
23.0,32.0,32.0,2.8147826086956527
0.0,0.0,29.0,0.0
10.0,14.0,24.0,2.49
0.0,0.0,24.0,0.0
10.0,11.0,30.0,2.49
0.0,0.0,26.0,0.0
18.0,18.0,18.0,2.49
1.0,2.0,30.0,4.98
7.0,7.0,25.0,2.4899999999999998
0.0,0.0,28.0,0.0
0.0,0.0,31.0,0.0
9.0,13.0,22.0,2.49
1.0,1.0,21.0,2.49
11.0,11.0,21.0,2.49
1.0,1.0,32.0,2.49
0.0,0.0,31.0,0.0
1.0,1.0,27.0,2.49
1.0,1.0,31.0,2.49
6.0,6.0,23.0,2.49
0.0,0.0,8.0,0.0
2.0,4.0,30.0,4.98
13.0,14.0,30.0,3.0646153846153847
4.0,4.0,19.0,2.49
3.0,3.0,19.0,2.49
8.0,10.0,27.0,2.49
30.0,31.0,32.0,2.49
16.0,16.0,21.0,2.49
7.0,8.0,32.0,2.4899999999999998
9.0,9.0,26.0,2.49
19.0,21.0,22.0,2.49
0.0,0.0,30.0,0.0
2.0,5.0,28.0,2.49
1.0,1.0,25.0,2.49
6.0,6.0,24.0,2.49
0.0,0.0,30.0,0.0
5.0,5.0,22.0,2.49
2.0,2.0,23.0,2.49
18.0,19.0,19.0,2.49
0.0,0.0,11.0,0.0
18.0,19.0,19.0,2.49
0.0,0.0,30.0,0.0
25.0,31.0,31.0,2.988
16.0,16.0,32.0,2.49
3.0,3.0,32.0,2.49
0.0,0.0,22.0,0.0
0.0,0.0,26.0,0.0
0.0,0.0,13.0,0.0
0.0,0.0,20.0,0.0
3.0,3.0,25.0,2.49
0.0,0.0,21.0,0.0
1.0,9.0,18.0,2.49
6.0,7.0,26.0,2.905
20.0,22.0,23.0,2.49
2.0,2.0,22.0,2.49
14.0,18.0,20.0,2.4899999999999998
8.0,8.0,26.0,2.49
0.0,0.0,29.0,0.0
3.0,3.0,32.0,2.49
0.0,0.0,24.0,0.0
2.0,2.0,24.0,2.49
2.0,2.0,26.0,2.49
1.0,1.0,21.0,2.49
25.0,27.0,28.0,2.49
16.0,16.0,23.0,2.49
21.0,22.0,25.0,2.49
0.0,0.0,26.0,0.0
0.0,0.0,29.0,0.0
4.0,4.0,22.0,2.49
0.0,0.0,24.0,0.0
22.0,22.0,24.0,2.49
9.0,10.0,15.0,2.49
1.0,1.0,25.0,2.49
1.0,1.0,15.0,2.49
0.0,0.0,25.0,0.0
1.0,1.0,26.0,2.49
22.0,22.0,23.0,2.49
1.0,1.0,22.0,2.49
2.0,2.0,27.0,2.49
10.0,10.0,29.0,2.49
4.0,4.0,33.0,2.49
3.0,12.0,24.0,2.49
1.0,1.0,29.0,2.49
